,Skip,Loss,train-acc,test-acc,commd_round
0,956.0,0.7007084129750729,78.57166666666666,90.99000000000001,12372800.0
1,961.0,0.27314253577962516,91.98166666666665,93.4,22140800.0
2,993.0,0.20811864361011734,93.97,94.47,31778560.0
3,987.0,0.17220522252842785,94.99166666666666,95.23,42328000.0
4,1007.0,0.14656885316595436,95.80833333333332,95.8,53268160.0
5,1029.0,0.12874763478680204,96.36166666666666,96.05,62905920.0
6,1023.0,0.11340431709075346,96.82666666666667,96.63000000000001,71111040.0
7,1026.0,0.10277878953803642,97.08666666666666,96.81,80748800.0
8,1009.0,0.09307017129690696,97.36166666666666,96.92,89865600.0
9,1040.0,0.08336037997389212,97.64500000000001,97.13000000000001,99763840.0
10,1026.0,0.08042442759188513,97.71833333333333,96.99,108620160.0
11,1031.0,0.07417954794053609,97.88,97.28999999999999,117606720.0
12,1025.0,0.06788817048887723,98.175,97.28,127114240.0
13,1045.0,0.0630854424702314,98.29666666666667,97.38,134798400.0
14,1045.0,0.0580179919473206,98.425,97.41,142743040.0
15,1048.0,0.05394884376243378,98.54333333333334,97.49,150036480.0
16,1041.0,0.05212553208422226,98.62166666666667,97.50999999999999,157720640.0
17,1032.0,0.048871587386044364,98.71,97.66,165014080.0
18,1050.0,0.04476948797586374,98.90166666666667,97.77,173349440.0
19,1043.0,0.042477076080588934,98.92833333333333,97.78,180903360.0
20,,,,,188066560.0
21,,,,,195490240.0
22,,,,,202653440.0
23,,,,,210728320.0
24,,,,,219714880.0
25,,,,,227529280.0
26,,,,,235604160.0
27,,,,,242376640.0
