,Skip,Loss,train-acc,test-acc
0,267.0,1.1960195554047823,71.1,85.68
1,534.0,0.8496583847887814,78.9,89.25999999999999
2,768.0,0.6994700689737996,82.28333333333333,90.16
3,1017.0,0.3605306898802519,89.825,90.93
4,1271.0,0.3442879841849208,90.295,91.33
5,1517.0,0.3321124722684423,90.58,91.86999999999999
6,1755.0,0.2904342682100832,91.45,92.17999999999999
7,2014.0,0.28655003421008585,91.74,92.53
8,2265.0,0.28179951031381884,91.88166666666666,92.78
9,2536.0,0.2501391487009823,92.995,93.05
10,2803.0,0.2536946528870612,92.86999999999999,93.25
11,3060.0,0.2492954123330613,92.975,93.51
12,3323.0,0.22956624014303087,93.485,93.72
13,3595.0,0.2303698504716158,93.545,94.03
14,3874.0,0.22438180580424766,93.66499999999999,94.08
15,4144.0,0.21438268319703638,94.195,94.25
16,4422.0,0.20675578917376697,94.2225,94.5
17,4689.0,0.2028095016690592,94.315,94.6
18,4977.0,0.18892706116661429,94.695,94.75
19,5258.0,0.18515108570922167,94.81,94.89
20,5533.0,0.18411439951974898,94.83500000000001,95.05
21,5809.0,0.16927763774059712,95.19,95.19999999999999
22,6102.0,0.1683145003253594,95.3325,95.16
23,6382.0,0.16981729973107576,95.28666666666666,95.30999999999999
24,6680.0,0.15576424054335802,95.795,95.62
25,6973.0,0.15624812145950273,95.7575,95.59
26,7260.0,0.1569875043273593,95.71666666666667,95.78999999999999
27,7541.0,0.15004803764633834,96.055,95.89999999999999
28,7834.0,0.14520683726063,96.075,95.81
29,8126.0,0.14560461702290922,96.02166666666668,95.93
30,8411.0,0.13672840933315455,96.405,95.97
31,8695.0,0.13472420028643683,96.3325,96.11
32,8983.0,0.13540780493834367,96.28999999999999,96.12
33,9266.0,0.13023869012482464,96.485,96.1
34,9563.0,0.12805467809783294,96.4775,96.3
35,9859.0,0.1271631473287319,96.525,96.3
36,10152.0,0.12455714779905974,96.695,96.39999999999999
37,10449.0,0.12227477618958801,96.74000000000001,96.41999999999999
38,10749.0,0.12050040450568,96.79166666666667,96.67999999999999
39,11041.0,0.11078552692197263,96.975,96.57
40,11331.0,0.11390686612692662,96.93,96.59
41,11626.0,0.11288006846094505,96.98833333333333,96.73
42,11921.0,0.10937347549013793,97.205,96.69
43,12215.0,0.10717606241349131,97.2,96.73
44,12517.0,0.10731355836304525,97.17333333333333,96.87
45,12815.0,0.10359962216811254,97.21,96.86
46,13117.0,0.1016436773876194,97.3475,96.88
47,13416.0,0.10128624680063998,97.31833333333333,96.89999999999999
48,13711.0,0.09451130594592541,97.54,96.86
49,14009.0,0.09591221625800245,97.4725,96.73
50,14307.0,0.0964492355310358,97.41833333333332,96.88
51,14600.0,0.09157921897247434,97.69,96.92
52,14901.0,0.09304158983984961,97.625,96.98
53,15198.0,0.09208249133235465,97.625,96.91
54,15501.0,0.0826690984191373,97.85000000000001,97.11
55,15797.0,0.08712257443927228,97.7275,97.18
56,16091.0,0.08739939859990652,97.73666666666668,97.15
57,16394.0,0.08338943027891219,97.84,97.32
58,16693.0,0.0837798693170771,97.83500000000001,97.23
59,16992.0,0.08326830805589755,97.84666666666666,97.37
