,Loss,train-acc,test-acc
0,1.7716991621553897,37.058,56.44
1,1.1591117310345174,58.984,69.15
2,0.8876592023015022,69.014,74.03
3,0.7345104174345731,74.644,78.3
4,0.638746782341227,78.09,80.52
5,0.5607282728835941,80.72200000000001,83.24
6,0.508766470208019,82.394,82.21
7,0.46459288012068717,84.052,85.42
8,0.4275068157325499,85.296,86.06
9,0.39018210501782596,86.634,86.88
10,0.3634613795535639,87.614,85.33
11,0.33907029197597877,88.318,88.35
12,0.31402032152190806,89.336,87.74
13,0.29808411681009456,89.736,87.26
14,0.2761565260719042,90.57600000000001,88.5
15,0.26119497159887106,90.95,89.17
16,0.24570082684259395,91.414,85.6
17,0.22960622621134388,92.006,89.2
18,0.218980483076605,92.55,89.06
19,0.20411757038560463,92.902,90.0
20,0.13585587741062044,95.35,92.14
21,0.11929280014387914,95.988,92.18
22,0.10675417530887643,96.458,92.2
23,0.10111978537615214,96.652,92.36
24,0.09888119343645521,96.67,92.18
25,0.09424893822006998,96.872,92.33
26,0.08975400384797394,96.96000000000001,92.35
27,0.0883611998139444,96.966,92.24
28,0.08470482383279741,97.13199999999999,92.25
29,0.08287127516812325,97.166,92.49
