,Loss,train-acc,test-acc
0,1.5117727391719817,44.138,58.79
1,1.0214651163220405,63.507999999999996,65.53
2,0.8027902303636074,71.64399999999999,74.6
3,0.6634859868884087,76.866,79.11
4,0.5789265924543142,79.848,81.69
5,0.5123195113092661,82.19800000000001,82.37
6,0.47252382048964503,83.712,83.91
7,0.429781496450305,85.136,84.13
8,0.39968609042465686,86.206,84.68
9,0.36743184815347196,87.398,85.74
10,0.341592810317874,88.18,85.42
11,0.31737877310067414,89.13600000000001,86.43
12,0.29581179324537515,89.666,86.93
13,0.2803118306919932,90.25999999999999,87.74
14,0.2595728003308177,90.886,87.15
15,0.24464945036545396,91.53999999999999,84.11
16,0.2298747793138027,91.95,87.55
17,0.21696321409195662,92.46600000000001,88.25
18,0.20262504778057336,92.81,87.22
19,0.19797684062644838,93.022,88.42
