,Loss,train-acc,test-acc
0,1.582296464562416,41.71,53.93
1,1.090024981856346,60.653999999999996,56.61
2,0.8511556671857834,69.702,73.36
3,0.697268293172121,75.684,76.0
4,0.6145599904358388,78.574,78.93
5,0.5458776016533374,80.92,78.25
6,0.49649838884174824,82.814,82.22
7,0.45618480852246285,84.138,81.73
8,0.4219613842815161,85.35000000000001,82.82
9,0.3866282411813736,86.58,84.95
10,0.3661576357856393,87.124,84.63
11,0.3409690942391753,88.176,83.09
12,0.3166085338741541,89.02799999999999,86.49
13,0.2977213165350258,89.654,85.22
14,0.28374936228245495,90.038,86.1
15,0.26814537698403,90.50200000000001,84.63
16,0.24772838934883476,91.36,86.9
17,0.23877594154328108,91.732,88.01
18,0.22485648648813367,92.04599999999999,85.75
19,0.21231238980591297,92.574,88.22
