,Loss,train-acc,test-acc
0,1.4691145433425903,46.694,64.42
1,0.9390988784715534,67.336,75.17
2,0.7241349660150707,75.18599999999999,79.3
3,0.6030730956673622,79.07,82.88
4,0.5349378370417281,81.54599999999999,83.62
5,0.4719773117631208,83.774,84.83
6,0.4242204957688227,85.38,85.3
7,0.3881493913331069,86.636,85.92
8,0.3586762957648374,87.66000000000001,87.49
9,0.3271765069177374,88.78,87.17
10,0.30561196477497,89.456,88.05
11,0.2809185633299872,90.224,88.79
12,0.26578198890751226,90.88000000000001,88.53
13,0.2507421838600887,91.29,89.6
14,0.2322946428201627,91.932,89.59
15,0.21957153078438715,92.38199999999999,89.47
16,0.20450257757702492,92.952,89.72
17,0.19157768214694224,93.47,89.69
18,0.18310402141475352,93.60000000000001,89.62
19,0.17092901219456108,94.104,89.91
20,0.12418430511465994,95.816,91.84
21,0.09926577682275092,96.676,91.93
22,0.08777304650389997,97.164,91.97
23,0.08187125652406248,97.286,92.11
24,0.07870427345895151,97.43,92.25
25,0.07586028651789675,97.494,92.34
26,0.073014307837257,97.516,92.16
27,0.0693597201023411,97.712,92.19
28,0.06636622625817835,97.816,92.4
29,0.06607600982253643,97.802,92.35
