,Loss,train-acc,test-acc,commd_round
0,1.114999656751752,75.755,86.92,5210240000.0
1,0.8056646589376032,81.6925,89.31,10420480000.0
2,0.667298812729617,84.23166666666667,90.42999999999999,15630720000.0
3,0.35123958960175516,90.125,90.96,20840960000.0
4,0.33750806355848906,90.52,91.64,26051200000.0
5,0.32888801163062453,90.66833333333332,91.92,31261440000.0
6,0.29043569080531595,91.815,92.31,36471680000.0
7,0.28718041052110493,91.8825,92.69,41681920000.0
8,0.2792006610458096,92.07,92.73,46892160000.0
9,0.2524247894063592,92.705,93.08,52102400000.0
10,0.2544839926902205,92.67999999999999,93.32000000000001,57312640000.0
11,0.24763135789893567,92.93166666666667,93.47999999999999,62522880000.0
12,0.2327421779371798,93.475,93.75,67733120000.0
13,0.2265404939558357,93.6825,93.85,72943360000.0
14,0.2236584738176316,93.68166666666666,94.04,78153600000.0
15,0.2136625072080642,93.89,94.25,83363840000.0
16,0.20923418988939374,94.0275,94.3,88574080000.0
17,0.20366463491072256,94.25166666666667,94.58,93784320000.0
18,0.18948214292060583,94.67,94.62,98994560000.0
19,0.1887054501241073,94.645,94.82000000000001,104204800000.0
20,0.187005588185663,94.73333333333333,94.82000000000001,109415040000.0
21,0.17830965414643288,95.005,95.0,114625280000.0
22,0.17173847248777746,95.1925,95.1,119835520000.0
23,0.17283851225705196,95.16,95.17999999999999,125045760000.0
24,0.15948478867765517,95.525,95.30999999999999,130256000000.0
25,0.16263780953129753,95.475,95.46,135466240000.0
26,0.16066826047220578,95.50666666666666,95.47,140676480000.0
27,0.151992482310161,95.795,95.58,145886720000.0
28,0.15237591459648683,95.745,95.57,151096960000.0
29,0.15000357324723154,95.77833333333334,95.75,156307200000.0
30,0.13921514590736478,96.055,95.76,161517440000.0
31,0.1399259403347969,96.06,95.94,166727680000.0
32,0.14070504578916976,96.055,95.91,171937920000.0
33,0.13171531457919627,96.41,95.98,177148160000.0
34,0.13092183182016015,96.365,96.02000000000001,182358400000.0
35,0.13252196289909382,96.30833333333332,96.19,187568640000.0
36,0.12768906281795353,96.46000000000001,96.21,192778880000.0
37,0.1257866613799706,96.495,96.26,197989120000.0
38,0.12519949150426934,96.53666666666668,96.39999999999999,203199360000.0
39,0.11725025504129008,96.91499999999999,96.36,208409600000.0
40,0.11836081365239806,96.785,96.37,213619840000.0
41,0.11846294182740773,96.76333333333334,96.56,218830080000.0
42,0.11785782553255558,96.795,96.54,224040320000.0
43,0.11448692620033399,96.89,96.65,229250560000.0
44,0.11253055404328431,96.96166666666667,96.63000000000001,234460800000.0
45,0.11027708843583241,97.08,96.78999999999999,239671040000.0
46,0.10764523752150126,97.14,96.69,244881280000.0
47,0.10706161598519733,97.13333333333334,96.76,250091520000.0
48,0.09821070042205975,97.33500000000001,96.71,255301760000.0
49,0.09994550288189202,97.285,96.81,260512000000.0
50,0.10210779507644474,97.245,96.83,265722240000.0
51,0.09621658311923965,97.355,96.86,270932480000.0
52,0.09934292177320458,97.35249999999999,96.91,276142720000.0
53,0.09754266849486157,97.42333333333333,96.87,281352960000.0
54,0.09233751881401986,97.53,97.0,291773440000.0
55,0.09359101468115114,97.47749999999999,96.94,296983680000.0
56,0.09337552493981396,97.50666666666666,96.99,302193920000.0
57,0.09409791080281138,97.45,97.03,
58,0.09109063954674639,97.495,97.11999999999999,
59,0.08947994680221504,97.59,97.05,
