,Loss,train-acc,test-acc
56,1.3261887779906392,62.55500000000001,88.19
57,1.32335699544847,62.61333333333333,88.08
58,1.329408724270761,62.3675,87.83
59,1.3339417028099299,62.117999999999995,88.23
60,1.2402825431525708,64.29,88.28
61,1.245377312913537,64.075,88.19
62,1.2607242475847402,63.83333333333333,89.0
63,1.2707079609520733,63.607499999999995,89.16
64,1.2719646620839835,63.474,88.65
65,1.1793360434621571,65.91,88.77
66,1.1909524127319455,65.58,88.9
67,1.2076168449968099,65.17666666666668,88.89
68,1.2059316675886511,65.1275,88.95
69,1.211354520970583,65.076,89.09
70,1.1547863791137933,66.99000000000001,89.61
71,1.1544434093534945,66.965,89.14
72,1.1604038894673188,66.86999999999999,89.42
73,1.1639241803530604,66.6225,89.53
74,1.1677101355418562,66.474,89.67
75,1.0783762665092944,68.31,89.57
76,1.0926499845907092,68.24,89.74
77,1.10262546073397,68.07333333333332,89.95
78,1.111246996115893,67.7375,89.57
79,1.1221788271993398,67.398,89.81
80,1.0476364763081074,69.19999999999999,89.95
81,1.0579839761145413,69.05,90.15
82,1.0651854303752382,68.70666666666668,89.53
83,1.0667957348842174,68.69,89.89
84,1.0715450463697314,68.556,90.21
85,0.999095762014389,71.2,89.68
86,1.0107477040141821,70.61,90.17
87,1.0131029775639375,70.41333333333334,90.53
88,1.0221545104365797,70.205,89.97
89,1.028323690865934,69.99,90.11
90,0.9384907618686557,72.31,90.1
91,0.9533586098421365,71.825,90.2
92,0.9823732023301224,71.21666666666667,90.28
93,0.9844864025218413,71.0025,90.02
94,0.9974935937128961,70.814,90.23
95,0.9054103251323103,72.78,90.01
96,0.9252355817519128,72.48,90.43
97,0.9277499116584659,72.48,90.59
98,0.9369489414971321,72.16749999999999,90.45
99,0.9427358753740788,72.13000000000001,90.15
100,0.8878656484782695,73.03,90.46
101,0.8913757415153086,73.14500000000001,90.44
102,0.8956763685171802,73.02333333333333,90.24
103,0.9094763785470277,72.80499999999999,90.51
104,0.9161058288037777,72.758,90.54
105,0.8496681852340698,74.2,90.63
106,0.8591264762692153,74.02499999999999,90.7
107,0.8707686157152057,73.93333333333332,90.62
108,0.8793158297822811,73.7025,90.46
109,0.8807694562856108,73.566,90.81
110,0.8075032497532666,75.72,90.62
111,0.8222639854736626,75.36500000000001,90.67
112,0.8329033152510722,74.97666666666667,90.34
113,0.8427562782792375,74.6925,91.18
114,0.8492773371942341,74.476,91.02
115,0.7706687979139387,76.84,91.1
116,0.7852217931877822,76.175,91.11
117,0.7968200280480087,75.88666666666667,90.88
118,0.8073588697947561,75.51,91.31
119,0.8144664323031903,75.318,90.85
120,0.7463146214932204,77.85,90.6
121,0.7730342228002847,76.845,91.07
122,0.7776034023736914,76.59666666666666,90.75
123,0.7820611959313973,76.4225,90.98
124,0.7871856731370092,76.302,91.0
125,0.7293083199933171,77.62,91.03
126,0.7304636901374907,77.55499999999999,90.97
127,0.7350964897597829,77.64333333333333,91.14
128,0.7439956531226635,77.39,90.87
129,0.753123673915863,77.194,90.89
130,0.7050726496651769,78.53999999999999,90.8
131,0.7068475888911635,78.35,90.2
132,0.7221840985454618,77.90333333333334,90.86
133,0.7279638728024438,77.83250000000001,91.17
134,0.7300501224167645,77.75,91.38
135,0.6666167054623365,79.39,91.05
136,0.6755051812492311,79.05499999999999,90.96
137,0.6825477588692059,78.80333333333334,90.88
138,0.6903216260452755,78.6275,90.85
139,0.6996734972734004,78.448,91.05
140,0.6364466750100255,80.53,91.0
141,0.6570241751950234,79.88,91.46
142,0.6608213720607261,79.82666666666667,91.11
143,0.6675297677684575,79.6275,90.59
144,0.6741892748594284,79.36800000000001,91.08
145,0.6003452000431716,81.73,90.9
146,0.6160645360685885,81.215,91.3
147,0.6327918837380906,80.68666666666667,90.9
148,0.6375545897232369,80.4975,91.54
149,0.6466149239577353,80.23599999999999,91.01
150,0.620542932651937,81.03,91.42
151,0.5710839915396646,82.525,91.87
152,0.5423662260379642,83.46000000000001,91.93
153,0.5203067984785885,84.19,92.37
154,0.5110255859525874,84.486,92.28
155,0.4455737861674279,86.04,92.3
156,0.43549984914343803,86.615,92.32
157,0.4321167974301303,86.73666666666666,92.18
158,0.4328388009171467,86.83999999999999,92.35
159,0.42863445022869856,86.984,92.34
