,Skip,Loss,train-acc,test-acc,commd_round
0,954.0,2.7720325525601703,63.57333333333334,72.25,
1,1027.0,1.5398627739523847,76.49166666666667,73.45,
2,1089.0,1.1810687855258584,78.245,78.3,
3,1090.0,0.7713240504389008,81.39666666666666,80.53,
4,1091.0,0.643407312122484,82.60333333333332,81.92,
5,1092.0,0.570926440289865,83.56333333333333,81.35,
6,1089.0,0.549959300669531,83.54166666666667,81.35,
7,1092.0,0.5050241026654839,84.375,81.81,
8,1091.0,0.48111657056336604,84.86666666666667,83.00999999999999,
9,1092.0,0.47134649243826665,85.05,83.08,
10,1089.0,0.4511857007009288,85.49666666666667,83.05,
11,1092.0,0.44734821913142997,85.47333333333333,83.57,
12,1091.0,0.4267669219709933,85.93166666666666,83.55,
13,1091.0,0.41375436398511134,86.215,82.88,
14,1090.0,0.40933601239696144,86.24833333333333,83.91,
15,1091.0,0.394420653777197,86.615,84.7,
16,1092.0,0.384633431173861,86.85666666666667,83.31,
17,1089.0,0.3779654224465291,87.08166666666666,84.28,
18,1092.0,0.37323052280272045,87.04833333333333,84.72,
19,1091.0,0.3655155399131278,87.45333333333333,84.45,
