,Skip,Loss,train-acc,test-acc,commd_round
0,0.0,1.1071384529769421,75.92999999999999,87.12,5210240000.0
1,0.0,0.8028559916466474,81.6975,89.42,10420480000.0
2,0.0,0.6669943334783117,84.25166666666667,90.45,15630720000.0
3,5.0,0.35718876745551825,89.915,90.93,20775832000.0
4,7.0,0.34079308124259117,90.3775,91.4,25960020800.0
5,10.0,0.329072894261529,90.69166666666668,92.05,31131184000.0
6,11.0,0.2867274895124137,91.61,92.33,36328398400.0
7,15.0,0.28348441681358966,91.91,92.67,41486536000.0
8,19.0,0.27920285016608737,92.04666666666667,92.80000000000001,46644673600.0
9,25.0,0.24807938097044827,92.965,92.99,51776760000.0
10,27.0,0.25218044776003806,92.8775,93.35,56960948800.0
11,31.0,0.2481630927231163,92.95833333333333,93.52000000000001,62119086400.0
12,38.0,0.2285321076400578,93.54,93.69,67238147200.0
13,46.0,0.229787866352126,93.5725,93.77,72344182400.0
14,62.0,0.22374633325263857,93.68166666666666,94.07,77346012800.0
15,69.0,0.21417724285274745,94.1,94.23,82465073600.0
16,73.0,0.20745991320814938,94.16,94.37,87623211200.0
17,106.0,0.20374356136346858,94.27,94.54,92403606400.0
18,122.0,0.19189524690620602,94.5,94.57,97405436800.0
19,144.0,0.187789982361719,94.655,94.83,102329113600.0
20,166.0,0.1870466295008858,94.69999999999999,94.87,107252790400.0
21,196.0,0.17222440145909787,95.085,95.04,112072262400.0
22,218.0,0.17119361428543925,95.22749999999999,95.15,116995939200.0
23,245.0,0.1727334981660048,95.16666666666667,95.39999999999999,121854488000.0
24,271.0,0.15856212157290428,95.63000000000001,95.28999999999999,126726062400.0
25,318.0,0.15928506190655753,95.5275,95.39,131324099200.0
26,344.0,0.16041776355976858,95.46,95.52000000000001,136195673600.0
27,379.0,0.15377956694923342,95.78999999999999,95.61,140950017600.0
28,411.0,0.14871826119720935,95.85249999999999,95.63000000000001,145743438400.0
29,452.0,0.14955063769283394,95.815,95.58,150419628800.0
30,479.0,0.14047298513818532,96.195,95.83,155278177600.0
31,531.0,0.13912718198494986,96.15,95.77,159811086400.0
32,580.0,0.14005180311078827,96.11166666666666,96.00999999999999,164383072000.0
33,628.0,0.13499923824798316,96.21,96.09,168968083200.0
34,680.0,0.13276034021982924,96.26249999999999,96.1,173500992000.0
35,735.0,0.1319434825113664,96.29166666666666,96.24000000000001,177994824000.0
36,786.0,0.12861090750433504,96.55,96.34,182540758400.0
37,837.0,0.12596511807758362,96.5975,96.39999999999999,187086692800.0
38,893.0,0.12427229407709092,96.59833333333333,96.5,191567499200.0
39,953.0,0.11606505050323904,96.77,96.45,195996203200.0
40,1006.0,0.11891331835999154,96.76,96.50999999999999,200516086400.0
41,1074.0,0.1176526865696845,96.8,96.41,204840585600.0
42,1129.0,0.11348669274244458,97.015,96.39999999999999,209334417600.0
43,1198.0,0.11145366443088278,97.0025,96.64,213645891200.0
44,1265.0,0.11138258698396385,96.98,96.71,217983416000.0
45,1327.0,0.10840161168016493,97.04,96.76,222386068800.0
46,1411.0,0.10651382970856503,97.18,96.76,226502158400.0
47,1491.0,0.1060810473219802,97.17,96.76,230670350400.0
48,1555.0,0.09982661288697273,97.35000000000001,96.84,235046952000.0
49,1631.0,0.1004806070041377,97.3225,96.94,239267246400.0
50,1706.0,0.10102770009621356,97.31666666666666,96.85000000000001,243500566400.0
51,1778.0,0.09755466498201713,97.555,96.96000000000001,247772963200.0
52,1856.0,0.09783450571470893,97.50750000000001,96.98,251967206400.0
53,1940.0,0.09643910972013449,97.48333333333333,96.99,256083296000.0
54,2020.0,0.08686973030446098,97.745,96.97,260251488000.0
55,2096.0,0.09180487924604677,97.55749999999999,97.05,264471782400.0
56,2165.0,0.09209258039559548,97.56333333333333,97.1,
57,2242.0,0.08909355203621089,97.65,97.0,
58,2316.0,0.08894042114494369,97.695,97.1,
59,2400.0,0.08818800676070775,97.69166666666666,97.15,
