,Loss,train-acc,test-acc
0,0.7299734835202495,81.92666666666668,90.21000000000001
1,0.33186518056939046,90.53666666666666,91.95
2,0.28208188464244205,91.99666666666667,92.80000000000001
3,0.25053539051363866,92.88833333333332,93.41000000000001
4,0.22634238961773614,93.62333333333333,93.97
5,0.20634502787453432,94.18666666666667,94.53
6,0.18926163224503398,94.685,94.82000000000001
7,0.17500108037143947,95.08833333333332,95.15
8,0.16262940329965203,95.45166666666667,95.37
9,0.1516695552552119,95.74666666666667,95.66
10,0.14230235605500638,96.015,95.87
11,0.13391043252156426,96.27,96.19
12,0.12643742830337334,96.53,96.34
13,0.11970082772895693,96.705,96.52
14,0.11362193637760357,96.94500000000001,96.59
15,0.10809781380696222,97.085,96.71
16,0.10316073421233644,97.22833333333334,96.92
17,0.09858008662626769,97.38833333333334,96.94
18,0.09424437132741635,97.50333333333333,97.00999999999999
19,0.09024612060980872,97.565,97.08
