,Loss,train-acc,test-acc
0,4.36001287484169,4.68,26.64
1,4.175401528954506,6.404999999999999,35.11
2,4.032694344520569,8.323333333333334,40.34
3,3.925657449543476,9.7425,43.77
4,3.839094427156448,11.044,46.22
5,3.346389518022537,18.73,51.85
6,3.293136188983917,19.54,52.89
7,3.237040535291036,20.549999999999997,59.55
8,3.1849682866036892,21.4525,55.02
9,3.1363146557807924,22.276,62.1
10,2.823431456685066,29.07,62.0
11,2.8139687708616257,29.15,64.97
12,2.782460110704104,29.44333333333333,66.16
13,2.7410412998199463,30.209999999999997,66.71
14,2.710868282842636,30.878,71.53
15,2.4379251109957694,36.51,66.08
16,2.4348525042235853,36.425000000000004,71.72
17,2.4150551757613816,36.82333333333334,74.79
18,2.408306367635727,36.8425,72.43
19,2.384291339111328,37.402,74.42
20,2.191873451054096,41.730000000000004,76.98
21,2.193298384308815,41.65,76.18
22,2.1916281774044037,41.70333333333333,76.75
23,2.1769696667194367,42.0425,76.22
24,2.1623698501467703,42.428,78.56
25,2.0313602699041367,44.95,78.01
26,2.0303450969457626,45.019999999999996,78.19
27,2.014798065284888,45.33,80.21
28,2.008077571108937,45.574999999999996,79.88
29,2.000545864188671,45.776,78.83
30,1.9003269994556904,48.69,79.87
31,1.8739284839779138,49.02,81.44
32,1.8702050780057906,49.11333333333333,79.93
33,1.862297199830413,49.405,81.97
34,1.8643357746124267,49.326,82.75
35,1.7368295528292657,52.33,82.9
36,1.7519804984629155,51.92,82.91
37,1.7460224275290965,52.063333333333325,83.91
38,1.7382857428640128,52.0775,82.96
39,1.737349149519205,52.136,82.69
40,1.6401179740428924,54.06999999999999,83.34
41,1.6565332342237233,53.805,85.15
42,1.6630988838573297,53.64666666666666,84.81
43,1.6629577124342323,53.74250000000001,84.49
44,1.6595485295653343,53.864000000000004,84.03
45,1.5502260241210462,56.34,85.66
46,1.553098229214549,56.63,85.26
47,1.5614370449682078,56.410000000000004,85.21
48,1.5635628377869726,56.292500000000004,84.38
49,1.5607842104077339,56.33200000000001,84.58
50,1.456133407086134,58.68,85.71
51,1.4690101751685143,58.48,86.86
52,1.4765714125335216,58.596666666666664,86.9
53,1.4833983095213772,58.435,86.26
54,1.4908900157511233,58.284000000000006,86.17
55,1.409338651433587,60.34,86.31
56,1.407086846485734,60.4,87.18
57,1.4076201977431775,60.156666666666666,86.36
58,1.4176603094153106,59.815,87.07
59,1.4174471261829138,59.874,86.24
60,1.3368108273595571,61.8,86.81
61,1.3392506917640568,61.855000000000004,87.36
62,1.3475532975047826,61.839999999999996,86.3
63,1.3571523361168802,61.575,87.54
64,1.3576700386226177,61.62,87.11
65,1.2735475453585385,63.6,87.8
66,1.2803006261773406,63.54,87.02
67,1.2966216986551882,63.086666666666666,88.08
68,1.2972443643826992,63.029999999999994,88.26
69,1.300751420520246,62.904,87.77
70,1.2322739223241805,64.99000000000001,88.46
71,1.2389582130536436,64.575,86.94
72,1.23722885350883,64.56666666666668,88.3
73,1.2429006710238755,64.40249999999999,87.99
74,1.2473768328338861,64.3,88.62
75,1.166110102057457,66.41,88.77
76,1.172580580584705,66.35,89.02
77,1.1822713005443415,66.06,87.94
78,1.1901172588597984,65.71000000000001,88.04
79,1.2026731503859163,65.242,89.01
80,1.1181381745040417,67.95,88.99
81,1.1311083955988288,67.23,88.98
82,1.1400120707899333,66.96333333333332,88.98
83,1.1408306147903204,66.8975,88.93
84,1.146211334812641,66.74,89.62
85,1.090266629807651,68.28999999999999,88.43
