,Loss,train-acc,test-acc
0,1.7781947576999664,33.565,45.8
1,1.5788687661290168,41.43,53.79
2,1.1346501341462136,59.06,60.43
3,1.075188289185365,61.44333333333334,66.89
4,1.0214651163220405,63.507999999999996,65.53
5,0.8366450252383948,70.44,68.41
6,0.8156777915731073,71.17750000000001,74.83
7,0.6812496784329415,76.4,75.11
8,0.6728586426874001,76.35,76.1
9,0.6634859868884087,76.866,79.11
10,0.5865610572695732,79.58,79.76
11,0.5879941179417074,79.515,77.02
12,0.5007469991594553,82.45,81.85
13,0.509817312285304,82.25333333333333,81.25
14,0.5123195113092661,82.19800000000001,82.37
15,0.4809938734397292,83.60499999999999,81.72
16,0.4753051361814141,83.735,82.22
17,0.41848437778651715,85.63,83.82
18,0.42839398940404255,85.16333333333334,83.08
19,0.429781496450305,85.136,84.13
20,0.3914557000622153,86.57000000000001,85.39
21,0.3986718426831067,86.30250000000001,84.41
22,0.36334846951067445,87.8,85.72
23,0.36621358948449295,87.49,85.47
24,0.36743184815347196,87.398,85.74
25,0.33734111610800027,88.64,85.99
26,0.3427121723163873,88.1775,86.18
27,0.3107990861311555,89.5,86.16
28,0.31546454679220914,89.20333333333333,86.36
29,0.31737877310067414,89.13600000000001,86.43
30,0.2967069258913398,89.61,86.55
31,0.292267361227423,89.805,86.31
32,0.2744394442439079,90.53999999999999,87.01
33,0.2799804440016548,90.31666666666666,86.04
34,0.2803118306919932,90.25999999999999,87.74
35,0.2601403667964041,90.825,87.35
36,0.25906316734850404,90.8675,87.26
37,0.2335468689352274,91.9,87.43
38,0.24070824615036449,91.63,87.6
39,0.24464945036545396,91.53999999999999,84.11
40,0.22861701659858227,92.08,88.14
41,0.22675550136249512,92.12,88.23
42,0.21086922012269496,92.55,87.6
43,0.21214124724268912,92.60000000000001,87.57
44,0.21696321409195662,92.46600000000001,88.25
45,0.1933880062121898,93.155,88.05
46,0.19951263790018856,92.95,88.54
47,0.18571098811924458,93.27,87.93
48,0.18942622280369203,93.32000000000001,88.96
49,0.19797684062644838,93.022,88.42
