,Loss,train-acc,test-acc
0,3.839094427156448,11.044,46.22
1,3.1363146557807924,22.276,62.1
2,2.710868282842636,30.878,71.53
3,2.384291339111328,37.402,74.42
4,2.1623698501467703,42.428,78.56
5,2.000545864188671,45.776,78.83
6,1.8643357746124267,49.326,82.75
7,1.737349149519205,52.136,82.69
8,1.6595485295653343,53.864000000000004,84.03
9,1.5607842104077339,56.33200000000001,84.58
10,1.4908900157511233,58.284000000000006,86.17
11,1.4174471261829138,59.874,86.24
12,1.3576700386226177,61.62,87.11
13,1.300751420520246,62.904,87.77
14,1.2473768328338861,64.3,88.62
15,1.2026731503859163,65.242,89.01
16,1.146211334812641,66.74,89.62
17,1.1061504671871663,67.762,89.4
18,1.0685130378320813,68.524,89.66
19,1.0235988738201558,69.806,90.11
20,0.9935672811895608,70.45400000000001,89.8
21,0.9511957580313086,71.65599999999999,90.03
22,0.917368886911124,72.394,90.0
23,0.8833300121895968,73.5,90.14
24,0.8485679891608655,74.47399999999999,91.09
25,0.8229299077257514,75.098,90.02
26,0.7898885842621326,76.142,90.62
27,0.7680073334921151,76.712,90.58
28,0.7375690324608236,77.492,90.84
29,0.7136768311154097,78.10000000000001,91.08
30,0.5270477605152876,83.946,92.51
31,0.4736145462363958,85.55,92.62
32,0.44928998182974755,86.67,92.66
33,0.4348174837831408,86.9,92.63
34,0.42874889518013226,86.98599999999999,92.81
35,0.4111364728955552,87.664,92.7
36,0.4048855108097196,87.822,92.95
37,0.39379467332325874,88.268,92.78
38,0.38651614390946926,88.396,92.81
39,0.3823607345148921,88.714,92.73
40,0.3701695815237239,88.9,92.71
41,0.3636044203160331,89.11200000000001,92.85
42,0.36014991120323536,89.252,92.77
43,0.3527293321499601,89.398,92.7
44,0.35043627857062964,89.426,92.54
45,0.336680742834881,89.834,92.63
46,0.33701133175427095,89.89200000000001,92.77
47,0.32763310276009144,90.078,92.71
48,0.3210887363197282,90.428,92.75
49,0.3226915894579142,90.074,92.92
