,Loss,train-acc,test-acc
0,1.8293440073728562,31.995,35.24
1,1.6481421629339457,39.125,45.01
2,1.219532827436924,55.81,57.86
3,1.154871170024077,58.13,62.44
4,1.090024981856346,60.653999999999996,56.61
5,0.8883871044963598,68.11500000000001,67.72
6,0.8628222496062518,69.24249999999999,70.42
7,0.7137328389286995,75.11,72.83
8,0.7100721536080042,75.1,76.11
9,0.697268293172121,75.684,76.0
10,0.6252680541574955,78.13,76.91
11,0.6248527917265893,78.12750000000001,78.04
12,0.529662430435419,81.39999999999999,72.91
13,0.5422322045763334,80.96333333333334,77.33
14,0.5458776016533374,80.92,78.25
15,0.5060832068696618,82.53,82.43
16,0.49858221400529146,82.715,80.7
17,0.44758109644055366,84.25,83.46
18,0.45364490315318107,84.23,82.49
19,0.45618480852246285,84.138,81.73
20,0.4132102667167783,85.485,83.71
21,0.42142783613875506,85.375,83.87
22,0.3857506116107106,86.55000000000001,80.22
23,0.38771835960447787,86.42666666666666,80.51
24,0.3866282411813736,86.58,84.95
25,0.3651243397407234,87.22,81.99
26,0.3673425482213497,87.075,84.01
27,0.33358767166733744,88.34,84.7
28,0.34147995882978044,88.16666666666667,85.5
29,0.3409690942391753,88.176,83.09
30,0.3175723900087178,88.845,82.82
31,0.31292022959329185,89.1275,85.83
32,0.2961892908811569,89.42999999999999,84.5
33,0.2964896989054978,89.60000000000001,86.46
34,0.2977213165350258,89.654,85.22
35,0.2751412007026374,90.275,85.91
36,0.2815742450580001,90.095,85.53
37,0.2643839077092707,90.61,87.05
38,0.2677534687705338,90.58,86.51
39,0.26814537698403,90.50200000000001,84.63
40,0.24692032700404526,91.525,84.55
41,0.24468272789847106,91.5175,86.41
42,0.22638709124177694,92.24,86.37
43,0.2324265356361866,91.97,88.62
44,0.23877594154328108,91.732,88.01
45,0.2197150208707899,92.225,87.37
46,0.22148077035788447,92.1225,87.2
47,0.20213829018175603,92.84,87.62
48,0.2065290086468061,92.70333333333333,88.38
49,0.21231238980591297,92.574,88.22
