,Skip,Loss,train-acc,test-acc
0,0.0,4.341502574443817,4.75,26.69
1,0.0,4.155240797877312,6.525,33.49
2,0.0,4.024410419066747,8.219999999999999,37.89
3,0.0,3.9122774466872214,9.875,45.59
4,0.0,3.824763281393051,11.248,44.63
5,0.0,3.3169006938934325,18.72,47.85
6,0.0,3.273519652783871,19.895,51.65
7,0.0,3.2177914297978085,21.083333333333336,56.54
8,0.0,3.17739441293478,21.7375,58.03
9,0.0,3.1397932296276094,22.46,61.78
10,0.0,2.841421025753021,27.91,63.85
11,0.0,2.8047152801156043,28.735,67.82
12,0.0,2.7757523042360943,29.42,67.67
13,0.0,2.7432047659158707,30.0775,67.76
14,0.0,2.7097109185695647,30.686000000000003,68.22
15,0.0,2.4893704696893693,35.31,73.2
16,0.0,2.471347741305828,35.605,73.41
17,0.0,2.4416063847939173,36.20333333333333,73.21
18,0.0,2.4268684541583063,36.65,74.38
19,0.0,2.409346326947212,37.062,74.77
20,0.0,2.2300935302376748,40.96,72.85
21,0.0,2.2242188310325144,41.175,74.08
22,0.0,2.2174906749924026,41.263333333333335,77.01
23,0.0,2.1971175379753114,41.77,77.76
24,0.0,2.1866280020594595,42.054,77.6
25,0.0,2.0432340437173844,44.800000000000004,78.78
26,0.0,2.046911703646183,44.765,80.43
27,0.0,2.0350176747242608,45.18333333333333,78.36
28,1.0,2.0208107898831367,45.58,79.08
29,1.0,2.0132340802192688,45.76,81.63
30,2.0,1.8744025062322616,48.85,80.35
31,3.0,1.8798558026850223,48.68,80.42
32,3.0,1.8884444264868896,48.553333333333335,80.95
33,6.0,1.8820233949199319,48.7025,81.99
34,7.0,1.8750711786568164,49.034,82.13
35,9.0,1.7662697566449643,51.53,81.94
36,14.0,1.757363972350955,51.849999999999994,83.22
37,20.0,1.7679162453214328,51.480000000000004,81.93
38,22.0,1.7658857108727097,51.677499999999995,82.09
39,23.0,1.761285547095537,51.788000000000004,84.32
40,27.0,1.6685102179944515,54.02,82.62
41,31.0,1.657725917816162,53.849999999999994,83.47
42,39.0,1.661408780515194,53.96666666666666,83.9
43,42.0,1.6565236046612262,54.155,83.86
44,48.0,1.6574315697073936,54.162,84.41
45,52.0,1.6132166737616063,55.14,84.32
46,59.0,1.595241055548191,55.635,85.22
47,61.0,1.5814462735851607,55.989999999999995,85.16
48,70.0,1.5790919422134757,55.8575,86.07
49,76.0,1.5790401537835599,56.028,86.03
