,Loss,train-acc,test-acc,commd_round
0,1.2875960613042117,69.66,86.02,52096000.0
1,0.8984082458168268,78.375,88.96,104192000.0
2,0.7299734835202495,81.92666666666668,90.21000000000001,156288000.0
3,0.35368723154067994,89.905,90.86999999999999,208384000.0
4,0.3404230953101069,90.35,91.45,260480000.0
5,0.33186518056939046,90.53666666666666,91.95,312576000.0
6,0.2932004029303789,91.75999999999999,92.24,364672000.0
7,0.2900731650181115,91.8075,92.65,416768000.0
8,0.28208188464244205,91.99666666666667,92.80000000000001,468864000.0
9,0.2554092931933701,92.60000000000001,92.91,520960000.0
10,0.2574155583512038,92.64,93.27,573056000.0
11,0.25053539051363866,92.88833333333332,93.41000000000001,625152000.0
12,0.23533118455670773,93.375,93.66,677248000.0
13,0.2292588922707364,93.6125,93.76,729344000.0
14,0.22634238961773614,93.62333333333333,93.97,781440000.0
15,0.21631218974478542,93.795,94.19999999999999,833536000.0
16,0.21190207317471504,93.9625,94.21000000000001,885632000.0
17,0.20634502787453432,94.18666666666667,94.53,937728000.0
18,0.19167185812722892,94.625,94.55,989824000.0
19,0.19092739932239056,94.63000000000001,94.75,1041920000.0
20,0.18926163224503398,94.685,94.82000000000001,1094016000.0
21,0.18045093227177858,94.905,94.97,1146112000.0
22,0.17393430321710185,95.1125,95.09,1198208000.0
23,0.17500108037143947,95.08833333333332,95.15,1250304000.0
24,0.16154324759729208,95.455,95.28,1302400000.0
25,0.16466511190403252,95.42,95.36,1354496000.0
26,0.16262940329965203,95.45166666666667,95.37,1406592000.0
27,0.1538463110057637,95.775,95.46,1458688000.0
28,0.15406170752365142,95.7075,95.58,1510784000.0
29,0.1516695552552119,95.74666666666667,95.66,1562880000.0
30,0.14100449435412885,95.98,95.63000000000001,1614976000.0
31,0.14155241961125284,96.0,95.87,1667072000.0
32,0.14230235605500638,96.015,95.87,1719168000.0
33,0.13304746383801103,96.365,95.94,1771264000.0
34,0.1323170942347497,96.3,96.04,1823360000.0
35,0.13391043252156426,96.27,96.19,1875456000.0
36,0.1289883347088471,96.41999999999999,96.2,1927552000.0
37,0.12706473795929923,96.47250000000001,96.28,1979648000.0
38,0.12643742830337334,96.53,96.34,2031744000.0
39,0.1184762698225677,96.855,96.44,2083840000.0
40,0.11958959970856085,96.7125,96.38,2135936000.0
41,0.11970082772895693,96.705,96.52,2188032000.0
42,0.1189285125490278,96.825,96.54,2240128000.0
43,0.11564783030422404,96.8875,96.63000000000001,2292224000.0
44,0.11362193637760357,96.94500000000001,96.59,2344320000.0
45,0.11131512309191749,97.03500000000001,96.69,2396416000.0
46,0.1086245887062978,97.0875,96.55,2448512000.0
47,0.10809781380696222,97.085,96.71,2500608000.0
48,0.09931760626612231,97.295,96.73,2552704000.0
49,0.10102297197794542,97.2625,96.74000000000001,2604800000.0
50,0.10316073421233644,97.22833333333334,96.92,2656896000.0
51,0.09732751840027049,97.355,96.88,2708992000.0
52,0.10045906330808066,97.32,96.86,2761088000.0
53,0.09858008662626769,97.38833333333334,96.94,2813184000.0
54,0.09316830127499998,97.48,96.96000000000001,2865280000.0
55,0.09440482368692756,97.46000000000001,96.97,2917376000.0
56,0.09424437132741635,97.50333333333333,97.00999999999999,2969472000.0
57,0.09480281171621754,97.435,97.0,
58,0.09192889086320065,97.47749999999999,97.07000000000001,
59,0.09024612060980872,97.565,97.08,
