,Skip,Loss,train-acc,test-acc,commd_round
0,203.0,1.1045387735217809,65.77499999999999,74.71,
1,325.0,0.8797406450659037,71.86,78.68,
2,397.0,0.7755854019522667,74.74499999999999,80.44,
3,451.0,0.5315236325934529,81.72,81.43,
4,492.0,0.5118125032447278,82.3025,81.91000000000001,
5,526.0,0.5053109837944308,82.54833333333333,82.67999999999999,
6,554.0,0.4747394145652652,83.39999999999999,83.03,
7,609.0,0.4603813951648772,83.995,83.03,
8,668.0,0.4580749856432279,84.12666666666667,83.32000000000001,
9,720.0,0.43756581775844094,84.655,83.56,
10,762.0,0.43557374730706216,84.875,83.84,
11,809.0,0.4316282547141115,84.99666666666667,83.98,
12,859.0,0.42348605938255784,85.095,83.73,
13,911.0,0.4168061072193086,85.5,84.34,
14,953.0,0.41155530273914337,85.735,84.38,
15,1006.0,0.40034485775977374,85.925,84.3,
16,1062.0,0.39623770013451576,86.085,84.71,
17,1097.0,0.39624547901252904,86.09666666666666,84.78,
18,1166.0,0.3862446902319789,86.535,84.93,
19,1231.0,0.3829767548199743,86.81750000000001,85.04,
20,1302.0,0.3827358244669934,86.73166666666667,85.28,
21,1374.0,0.36519296292215586,87.095,85.09,
22,1425.0,0.369870349355042,87.03999999999999,85.21,
23,1460.0,0.37230095837265254,86.99833333333333,85.39,
24,1529.0,0.36269737154245374,87.295,85.39,
25,1579.0,0.3644941490888596,87.11,85.67,
26,1638.0,0.3624958540375034,87.225,85.68,
27,1686.0,0.3585156041756272,87.44,85.74000000000001,
28,1743.0,0.35440873811021445,87.565,86.08,
29,1806.0,0.35383226672808327,87.56333333333333,86.07000000000001,
30,1873.0,0.3371725194901228,88.05,85.95,
31,1948.0,0.3450224777497351,87.83999999999999,85.84,
32,2000.0,0.3457137797959149,87.86666666666667,86.07000000000001,
33,2068.0,0.3338354723900557,88.01,86.08,
34,2137.0,0.3383795889280736,88.02,86.41,
35,2191.0,0.33847968282798924,88.04333333333332,85.96000000000001,
36,2270.0,0.3351994462125003,87.99,86.19,
37,2348.0,0.33455999328754843,88.0775,86.41,
38,2405.0,0.33076731393113734,88.32,86.55000000000001,
39,2478.0,0.3245880638435483,88.575,86.4,
40,2530.0,0.3267642734851688,88.51,86.28,
41,2603.0,0.32524104573453466,88.545,86.58,
42,2670.0,0.3224723885394633,88.79,86.41,
43,2728.0,0.3202402465045452,88.8375,86.50999999999999,
44,2789.0,0.3194831830263138,88.77166666666668,86.91,
45,2843.0,0.3138294675014913,88.77000000000001,86.78,
46,2925.0,0.3114286363404244,88.9625,87.0,
47,2980.0,0.313643994089216,88.79166666666667,86.65,
48,3053.0,0.30381117887794973,89.25,86.87,
49,3112.0,0.3076952361408621,89.125,86.83,
50,3174.0,0.3083266283509632,89.07333333333334,87.03,
51,3253.0,0.3058761889860034,89.155,87.07000000000001,
52,3312.0,0.30223522273823616,89.275,87.09,
53,3368.0,0.30339795010785264,89.22333333333333,86.57000000000001,
54,3427.0,0.29476275280117986,89.53999999999999,87.2,
55,3468.0,0.29609174956567585,89.46499999999999,87.37,
56,3519.0,0.2994324630126357,89.32666666666667,87.03999999999999,
57,3573.0,0.2927839563041925,89.82,87.18,
58,3611.0,0.293444979256019,89.7025,87.15,
59,3672.0,0.29489428490400316,89.58166666666668,87.5,
