,Skip,Loss,train-acc,test-acc
0,2562.0,0.30939547598881956,91.18166666666667,95.74000000000001
1,3385.0,0.12068666908531062,96.54833333333333,96.58
2,3761.0,0.08157090233936712,97.70833333333333,97.43
3,3920.0,0.06278600198708348,98.20666666666666,97.57000000000001
4,4093.0,0.05073929476152019,98.49,97.7
5,4224.0,0.04132048012354183,98.77333333333334,97.76
6,4316.0,0.03479581007438173,98.94500000000001,97.84
7,4431.0,0.030417471657227073,99.09,97.65
8,4527.0,0.026107395035940197,99.20666666666666,97.59
9,4590.0,0.02529179367342211,99.22,97.89
10,4714.0,0.020043110662831282,99.37,97.04
11,4720.0,0.020368673835816822,99.355,97.6
12,4710.0,0.020821308594472024,99.30333333333333,97.89999999999999
13,4772.0,0.019698548941987918,99.35166666666667,97.91
14,4717.0,0.02036014259376042,99.3,97.6
15,4807.0,0.019430542953217278,99.35833333333333,97.78999999999999
16,4814.0,0.0200437459430188,99.33,97.21
17,4838.0,0.022780007646429932,99.26333333333334,97.8
18,4928.0,0.017670851736977463,99.39833333333333,97.33000000000001
19,4948.0,0.01851479847489545,99.375,98.16
